instance_name,lat,long
kurosawa-ruby.xyz,34.6864,135.52
kyoto-citygrid.org,37.751,-97.822
kyureki.jp,35.1802,136.9067
lab.oresys.nagoya,35.25,136.7833
labotadon.net,39.0481,-77.4729
lagom.agoni.news,37.4192,-122.0574
latedon.sui-hei.net,34.6864,135.52
layer8.space,51.2993,9.491
leaf.style,35.69,139.69
learn-english.site,48.8582,2.3387
legfr.social,48.8582,2.3387
lethar.gy,40.7214,-74.0052
lfsr.net,35.69,139.69
lgbt.io,32.7787,-96.8218
lianiis.m.to,35.685,139.7514
libertarian.chat,40.7214,-74.0052
linuxrocks.online,30.0028,-95.3963
listen.gallery,39.0481,-77.4729
livers.jp,48.8582,2.3387
local.iwamidon.tech,39.0481,-77.4729
lomo.mstdn.tokyo,45.8696,-119.688
lordinateur.tech,37.751,-97.822
lorraine.blue,46,2
lou.lt,51.4964,-0.1224
loutre.info,48.8582,2.3387
lovelive-anime.tk,35.69,139.69
ltch.fr,48.8582,2.3387
lux.blue,40.7089,-74.0012
m-uru.website,37.4192,-122.0574
m.anyhu.gs,37.751,-97.822
m.bonzoesc.net,37.751,-97.822
m.devolio.net,48.8582,2.3387
m.g3l.org,48.8628,2.3292
m.gandi.social,46,2
m.geraffel.net,51,9
m.hitorino.moe,22.2833,114.15
m.hxbus.net,35.5833,139.7483
m.livetube.cc,35.685,139.7514
m.loovto.net,48.8582,2.3387
m.massy.city,48.8322,2.3561
m.moe.cat,35.685,139.7514
m.moriya.faith,34.6864,135.52
m.mtjm.eu,50.1167,8.6833
m.okadajp.org,35.6047,140.1233
m.paulbutler.org,46,2
m.pira.jp,52.35,4.9167
m.rutan.info,35.69,139.69
m.rweekly.org,40.5516,-74.4637
m.sighash.info,45.8696,-119.688
m.sirousa.me,34.6864,135.52
m.sl-network.fr,46,2
m.sysi.work,37.4192,-122.0574
m.tatapa.org,35.685,139.7514
m.themsp.org,37.3387,-121.8914
m.u7fa9.org,37.4192,-122.0574
m.umbriel.fr,45.7485,4.8467
m.uncate.org,34.6864,135.52
m.upsilo.net,34.6864,135.52
m.v.nu,35.5206,139.7172
m6n.jp,35.685,139.7514
m6n.onsen.tech,34.6864,135.52
ma.luna.fyi,48.9167,2.3833
ma.strangeworld.jp,52.2394,21.0362
madomadon.net,43.6319,-79.3716
mag-mstdn.tki.jp,37.751,-97.822
magenta.click,37.751,-97.822
magi.systems,37.751,-97.822
makerdon.org,39.4899,-74.4773
malfunctioning.technology,45.8696,-119.688
maltdn.com,35.1802,136.9067
maly.io,48.8763,2.3183
mammout.bzh,46,2
mammouth.cafe,46,2
mammouth.inframed.net,48.8582,2.3387
mammut.buzz,43.6684,-79.3689
mammut.zasha.style,34.6864,135.52
mamot.fr,48.8582,2.3387
mamout.xyz,45.504,-73.5748
mamut.social,46,2
mana9356.m.to,35.685,139.7514
mangadon.info,34.6864,135.52
manhater.io,45.8696,-119.688
manhole.club,34.6864,135.52
manowar.social,55.7123,12.0564
manx.social,51.4964,-0.1224
mao.daizhige.org,39.9289,116.3883
maron.blue,48.8582,2.3387
mas.home.monsiteinternet.org,48.8582,2.3387
masatodon.click,35.685,139.7514
masatodon.com,34.6864,135.52
masatodon.jp,34.6864,135.52
mast.datamol.org,51,9
mast.eu.org,48.8628,2.3292
mast.iankelling.org,32.7787,-96.8218
mast.kaikretschmann.de,51.2993,9.491
mast.moe,35.69,139.69
mast.tayori.org,35.685,139.7514
mast.tokyo,39.0481,-77.4729
mast.udon.moe,40.7214,-74.0052
mastadon.tescher.me,37.751,-97.822
mastd.me,35.685,139.7514
mastd.racing,48.8582,2.3387
mastdc.com,39.0481,-77.4729
mastdn.jp,35.69,139.69
mastdn.lovesaemi.daemon.asia,34.7833,135.4667
mastdon.amazedkoumei.com,34.6864,135.52
mastedm.club,37.4192,-122.0574
masto.cryptoworld.is,51.2993,9.491
masto.dog,37.4192,-122.0574
masto.donte.com.br,39.4899,-74.4773
masto.fdlibre.eu,52.35,4.9167
masto.fine.moe,36.6648,-78.3715
masto.fslhome.org,46,2
masto.io,39.1068,-94.566
masto.ninja,48.8582,2.3387
masto.pt,48.8582,2.3387
masto.quad.moe,48.8582,2.3387
masto.raildecake.fr,43.5995,1.4332
masto.rezo2france.fr,48.8582,2.3387
masto.se,50.1167,8.6833
masto.svnet.fr,46,2
masto.tech,37.751,-97.822
masto.themimitoof.fr,48.8582,2.3387
mastochizuru.xyz,34.6864,135.52
mastodol.jp,34.6864,135.52
mastodoll.net,34.6864,135.52
mastodon-jp.org,1.2855,103.8565
mastodon-lyontech.fr,46,2
mastodon-omoshiro.com,34.6864,135.52
mastodon-robamimi.club,34.6864,135.52
mastodon-srv.gq,34.6864,135.52
mastodon-techdrive-staging.herokuapp.com,39.0481,-77.4729
mastodon-toyama.xyz,45.8696,-119.688
mastodon.103.ms,34.6864,135.52
mastodon.2502.net,35.69,139.69
mastodon.29lab.jp,35.685,139.7514
mastodon.3bk.jp,35.685,139.7514
mastodon.850mb.net,37.751,-97.822
mastodon.9net.org,48.8582,2.3387
mastodon.acc.sunet.se,59.3247,18.056
mastodon.acc.umu.se,63.8333,20.25
mastodon.anti-globalism.org,34.6864,135.52
mastodon.applest.net,34.6864,135.52
mastodon.aquarla.net,35.685,139.7514
mastodon.ar.al,48.8582,2.3387
mastodon.art,60.1708,24.9375
mastodon.at,48.8582,2.3387
mastodon.atikoro.net,37.3422,-121.9052
mastodon.aventer.biz,51.2993,9.491
mastodon.babycastles.com,48.8582,2.3387
mastodon.baeck.at,50.1167,8.6833
mastodon.beerfactory.org,48.8582,2.3387
mastodon.bertel-numerique.re,-21.1,55.6
mastodon.binatang.nl,52.3824,4.8995
mastodon.bitbank.cc,35.685,139.7514
mastodon.blue,48.8582,2.3387
mastodon.brussels,48.8582,2.3387
mastodon.bunkerchan.xyz,48.8582,2.3387
